               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.023527,            0.014484,           0.0031962,             0.98689,             0.99996,               0.995,             0.83306,            0.019735,           0.0050042,           0.0020666,            0.006898,            0.006898,            0.006898
                  96,            0.027855,            0.012474,           0.0029127,             0.99224,                   1,               0.995,             0.74711,            0.025559,           0.0053404,           0.0019745,            0.006865,            0.006865,            0.006865
                  97,            0.032163,            0.012314,           0.0034463,             0.98969,                   1,               0.995,             0.70063,            0.030734,            0.005506,           0.0016212,            0.006832,            0.006832,            0.006832
                  98,            0.031651,            0.014858,           0.0035655,             0.97976,             0.99984,               0.995,             0.79761,            0.020037,           0.0050428,           0.0019871,            0.006799,            0.006799,            0.006799
                  99,            0.021502,             0.01075,           0.0031278,             0.97376,                   1,               0.995,             0.84956,             0.01828,           0.0047323,           0.0020786,            0.006766,            0.006766,            0.006766
                 100,            0.025102,            0.013851,           0.0026016,             0.98296,             0.99997,               0.995,             0.82763,            0.023827,           0.0047819,           0.0017795,            0.006733,            0.006733,            0.006733
                 101,            0.029214,            0.014863,           0.0023488,             0.98614,                   1,               0.995,             0.71757,            0.025175,           0.0050744,           0.0017716,              0.0067,              0.0067,              0.0067
                 102,            0.025773,            0.012246,           0.0032074,             0.98768,                   1,               0.995,             0.77677,            0.022129,           0.0051521,           0.0017603,            0.006667,            0.006667,            0.006667
                 103,            0.023157,            0.013206,           0.0024033,             0.98761,                   1,               0.995,              0.8743,            0.017333,           0.0046823,           0.0016909,            0.006634,            0.006634,            0.006634
                 104,             0.02465,            0.014636,           0.0028175,             0.98802,             0.99989,               0.995,             0.74565,            0.021902,            0.004848,           0.0016285,            0.006601,            0.006601,            0.006601
                 105,             0.02666,            0.012281,           0.0029739,             0.99338,                   1,               0.995,             0.81601,            0.022886,           0.0049619,           0.0015845,            0.006568,            0.006568,            0.006568
                 106,            0.022789,            0.011771,           0.0022127,             0.99668,                   1,               0.995,             0.79995,            0.018384,           0.0049612,           0.0016283,            0.006535,            0.006535,            0.006535
                 107,            0.020248,            0.011093,           0.0024499,             0.99759,              0.9999,               0.995,             0.81111,             0.02094,           0.0049711,           0.0015878,            0.006502,            0.006502,            0.006502
                 108,              0.0286,            0.012711,           0.0022609,             0.99662,                   1,               0.995,              0.7221,            0.028778,            0.005481,           0.0014874,            0.006469,            0.006469,            0.006469
                 109,            0.034202,            0.011089,            0.002377,             0.96011,             0.99956,               0.995,              0.7647,            0.026411,           0.0054814,           0.0014975,            0.006436,            0.006436,            0.006436
                 110,            0.025856,            0.012686,           0.0025575,             0.97837,                   1,               0.995,              0.7861,            0.022869,           0.0051222,           0.0016242,            0.006403,            0.006403,            0.006403
                 111,            0.024256,            0.011663,           0.0021406,             0.99618,             0.96605,               0.995,             0.82658,            0.015613,           0.0048092,           0.0018682,             0.00637,             0.00637,             0.00637
                 112,            0.019528,            0.011109,           0.0025177,             0.99595,             0.96486,               0.995,             0.81698,            0.016375,           0.0047949,           0.0020759,            0.006337,            0.006337,            0.006337
                 113,             0.02097,            0.012506,           0.0025742,             0.99211,             0.96573,               0.995,             0.82897,            0.016081,            0.004986,           0.0021492,            0.006304,            0.006304,            0.006304
